Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
3/21/2024,3/19/2024,Debit,-42.56000,,1318074796,Ext Credit Card Debit AMAZON.COM*RH7IU7920     SEATTLE      WA,,Credit Card,8284.48000,,Ext Credit Card Debit AMAZON.COM*RH7IU7920     SEATTLE      WA
3/21/2024,3/19/2024,Debit,-34.98000,,1318074797,Ext Credit Card Debit AMZN MKTP US*RH3GM92S0   SEATTLE      WA,,Credit Card,8241.92000,,Ext Credit Card Debit AMZN MKTP US*RH3GM92S0   SEATTLE      WA
3/21/2024,3/19/2024,Debit,-137.81000,,1318074798,Ext Credit Card Debit ATT* BILL PAYMENT        DALLAS       TX,,Credit Card,8206.94000,,Ext Credit Card Debit ATT* BILL PAYMENT        DALLAS       TX
3/21/2024,3/19/2024,Debit,-349.00000,,1318074799,Ext Credit Card Debit COLUMBIA NW HEATING      SCAPPOOSE    OR,,Credit Card,8069.13000,,Ext Credit Card Debit COLUMBIA NW HEATING      SCAPPOOSE    OR
3/20/2024,3/18/2024,Debit,-22.99000,,1317451210,Ext Credit Card Debit NETFLIX.COM              LOS GATOS    CA,Entertainment,Credit Card,7720.13000,,Ext Credit Card Debit NETFLIX.COM              LOS GATOS    CA
3/19/2024,3/18/2024,Debit,-60.16000,,1316899858,Ext Credit Card Debit Interest Charge on Purcha,,Credit Card,7697.14000,,Ext Credit Card Debit Interest Charge on Purcha
3/19/2024,3/17/2024,Debit,-9.75000,,1316899859,Ext Credit Card Debit SQ *INSOMNIA COFFEE CO   HILLSBORO    OR,,Credit Card,7636.98000,,Ext Credit Card Debit SQ *INSOMNIA COFFEE CO   HILLSBORO    OR
3/18/2024,3/14/2024,Debit,-54.13000,,1316411510,Ext Credit Card Debit BETHANYS TABLE           PORTLAND     OR,,Credit Card,7627.23000,,Ext Credit Card Debit BETHANYS TABLE           PORTLAND     OR
3/18/2024,3/16/2024,Debit,-16.99000,,1316411511,Ext Credit Card Debit APPLE.COM/BILL           CUPERTINO    CA,,Credit Card,7573.10000,,Ext Credit Card Debit APPLE.COM/BILL           CUPERTINO    CA
3/18/2024,3/15/2024,Debit,-78.66000,,1316411512,Ext Credit Card Debit NW NATURAL 8004224012    5032264211   OR,,Credit Card,7556.11000,,Ext Credit Card Debit NW NATURAL 8004224012    5032264211   OR
3/18/2024,3/17/2024,Debit,-9.99000,,1316411513,Ext Credit Card Debit ADOBE INC.               4085366000   CA,,Credit Card,7477.45000,,Ext Credit Card Debit ADOBE INC.               4085366000   CA
3/15/2024,3/14/2024,Debit,-16.99000,,1315558095,Ext Credit Card Debit AMZN MKTP US*RH1R27CD0   AMZN.COM/BILLWA,,Credit Card,7467.46000,,Ext Credit Card Debit AMZN MKTP US*RH1R27CD0   AMZN.COM/BILLWA
3/15/2024,3/13/2024,Debit,-181.53000,,1315558096,Ext Credit Card Debit PORTLAND GENERAL ELECT   8005428818   OR,,Credit Card,7450.47000,,Ext Credit Card Debit PORTLAND GENERAL ELECT   8005428818   OR
3/15/2024,3/13/2024,Debit,-4.99000,,1315558097,Ext Credit Card Debit PLEXINCPASS MONTHLY      4157977539   CA,,Credit Card,7268.94000,,Ext Credit Card Debit PLEXINCPASS MONTHLY      4157977539   CA
3/14/2024,3/12/2024,Debit,-789.00000,,1315185764,Ext Credit Card Debit STATE FARM  INSURANCE    BLOOMINGTON  IL,Auto & Transport,Credit Card,7263.95000,,Ext Credit Card Debit STATE FARM  INSURANCE    BLOOMINGTON  IL
3/14/2024,3/12/2024,Debit,-61.97000,,1315185765,Ext Credit Card Debit APPLE.COM/BILL           CUPERTINO    CA,,Credit Card,6474.95000,,Ext Credit Card Debit APPLE.COM/BILL           CUPERTINO    CA
3/12/2024,3/9/2024,Debit,-82.70000,,1314566969,Ext Credit Card Debit TRADER JOE S #141        BEAVERTON    OR,,Credit Card,6412.98000,,Ext Credit Card Debit TRADER JOE S #141        BEAVERTON    OR
3/12/2024,3/10/2024,Debit,-12.15000,,1314566970,Ext Credit Card Debit AVA ROASTERIA HALL LLC   BEAVERTON    OR,,Credit Card,6330.28000,,Ext Credit Card Debit AVA ROASTERIA HALL LLC   BEAVERTON    OR
3/12/2024,3/11/2024,Debit,-11.24000,,1314566971,Ext Credit Card Debit AMAZON.COM*RN4284YF2     AMZN.COM/BILLWA,,Credit Card,6318.13000,,Ext Credit Card Debit AMAZON.COM*RN4284YF2     AMZN.COM/BILLWA
3/11/2024,3/9/2024,Debit,-54.92000,,1314125106,Ext Credit Card Debit FRED-MEYER #0035         BEAVERTON    OR,,Credit Card,6306.89000,,Ext Credit Card Debit FRED-MEYER #0035         BEAVERTON    OR
3/11/2024,3/9/2024,Debit,-9.99000,,1314125107,Ext Credit Card Debit ADOBE INC.               4085366000   CA,,Credit Card,6251.97000,,Ext Credit Card Debit ADOBE INC.               4085366000   CA
3/9/2024,3/8/2024,Debit,-6.99000,,1313586040,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA,Internet,Credit Card,6241.98000,,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA
3/9/2024,3/8/2024,Debit,-91.00000,,1313586041,Ext Credit Card Debit COMCAST CABLE COMM       800-COMCAST  OR,Internet,Credit Card,6234.99000,,Ext Credit Card Debit COMCAST CABLE COMM       800-COMCAST  OR
3/8/2024,3/6/2024,Debit,-42.03000,,1313320259,Ext Credit Card Debit FRED MEYER FUEL 9035     BEAVERTON    OR,Gas & Fuel,Credit Card,6143.99000,,Ext Credit Card Debit FRED MEYER FUEL 9035     BEAVERTON    OR
3/6/2024,3/4/2024,Debit,-320.84000,,1312893342,Ext Credit Card Debit IEEE INSURANCE PLAN      URBANDALE    IA,Life Insurance,Credit Card,6101.96000,,Ext Credit Card Debit IEEE INSURANCE PLAN      URBANDALE    IA
3/5/2024,3/3/2024,Debit,-19.92000,,1312893343,Ext Credit Card Debit AMAZON.COM*RZ1OK3SX2     SEATTLE      WA,Amazon,Credit Card,5781.12000,,Ext Credit Card Debit AMAZON.COM*RZ1OK3SX2     SEATTLE      WA
3/1/2024,2/28/2024,Credit,2300.00000,,1312893344,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,Credit Card Payment,Credit Card,5761.20000,,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR
